timestamp,day,day_of_week,day_type,time_of_day,request_rate,active_pods,pods_booting,spot_pods,ondemand_pods,preemption_event,cpu_utilization,memory_utilization,queue_length,p95_latency_ms,error_rate,cost_per_hour,month
0,0,0,normal,0.0,409.0,5,0,0,5,0,0.4473,0.4337,0,107.3,0.0005,1.0,0
5,0,0,normal,0.08,391.6,5,0,0,5,0,0.4257,0.3853,0,106.1,0.0005,1.0,0
10,0,0,normal,0.17,395.0,5,0,0,5,0,0.4285,0.4308,0,106.3,0.0005,1.0,0
15,0,0,normal,0.25,388.3,5,0,0,5,0,0.4148,0.4103,0,105.9,0.0005,1.0,0
20,0,0,normal,0.33,369.8,5,0,0,5,0,0.4196,0.3808,0,104.7,0.0005,1.0,0
25,0,0,normal,0.42,361.8,5,0,0,5,0,0.4103,0.3366,0,104.1,0.0005,1.0,0
30,0,0,normal,0.5,370.0,5,0,0,5,0,0.4252,0.355,0,104.7,0.0005,1.0,0
35,0,0,normal,0.58,398.7,5,0,0,5,0,0.4138,0.3922,0,106.6,0.0005,1.0,0
40,0,0,normal,0.67,406.3,5,0,0,5,0,0.4409,0.3988,0,107.1,0.0005,1.0,0
45,0,0,normal,0.75,411.9,5,0,0,5,0,0.4201,0.397,0,107.5,0.0005,1.0,0
50,0,0,normal,0.83,406.1,5,0,0,5,0,0.4536,0.3937,0,107.1,0.0005,1.0,0
55,0,0,normal,0.92,415.2,5,0,0,5,0,0.4819,0.3923,0,107.7,0.0005,1.0,0
60,0,0,normal,1.0,365.0,5,0,0,5,0,0.3672,0.3739,0,104.3,0.0005,1.0,0
65,0,0,normal,1.08,369.6,5,0,0,5,0,0.3728,0.3514,0,104.6,0.0005,1.0,0
70,0,0,normal,1.17,369.3,5,0,0,5,0,0.3995,0.4092,0,104.6,0.0005,1.0,0
75,0,0,normal,1.25,381.5,5,0,0,5,0,0.4242,0.4037,0,105.4,0.0005,1.0,0
80,0,0,normal,1.33,404.0,5,0,0,5,0,0.4466,0.416,0,106.9,0.0005,1.0,0
85,0,0,normal,1.42,380.7,5,0,0,5,0,0.3864,0.4091,0,105.4,0.0005,1.0,0
90,0,0,normal,1.5,358.8,5,0,0,5,0,0.3942,0.373,0,103.9,0.0005,1.0,0
95,0,0,normal,1.58,350.8,5,0,0,5,0,0.3808,0.3295,0,103.4,0.0005,1.0,0
100,0,0,normal,1.67,331.7,5,0,0,5,0,0.353,0.3638,0,102.1,0.0005,1.0,0
105,0,0,normal,1.75,353.7,5,0,0,5,0,0.3739,0.3234,0,103.6,0.0005,1.0,0
110,0,0,normal,1.83,381.0,5,0,0,5,0,0.4163,0.3835,0,105.4,0.0005,1.0,0
115,0,0,normal,1.92,353.1,5,0,0,5,0,0.3586,0.3843,0,103.5,0.0005,1.0,0
120,0,0,normal,2.0,366.6,5,0,0,5,0,0.388,0.385,0,104.4,0.0005,1.0,0
125,0,0,normal,2.08,391.2,5,0,0,5,0,0.449,0.4155,0,106.1,0.0005,1.0,0
130,0,0,normal,2.17,375.5,5,0,0,5,0,0.4317,0.3844,0,105.0,0.0005,1.0,0
135,0,0,normal,2.25,385.0,5,0,0,5,0,0.3915,0.399,0,105.7,0.0005,1.0,0
